chemical,map
CID-21549863,22972
CID-16745274,22973
CID-90801183,22974
CID-242831,22975
CID-1682,22976
CID-44373925,22977
CID-91309080,22978
CID-54218704,22979
CID-6438602,22980
CID-314533,22981
CID-53494878,22982
CID-25229583,22983
CID-52911942,22984
CID-24780631,22985
CID-16143340,22986
CID-15720,22987
CID-5221504,22988
CID-4251849,22989
CID-150933,22990
CID-44590720,22991
CID-16035765,22992
CID-50942697,22993
CID-5151086,22994
CID-25066764,22995
CID-21122789,22996
CID-3451441,22997
CID-44457067,22998
CID-66818559,22999
CID-90703173,23000
CID-2723592,23001
CID-16757549,23002
CID-11140088,23003
CID-57893891,23004
CID-10405318,23005
CID-76991,23006
CID-18439505,23007
CID-16099848,23008
CID-9903770,23009
CID-5281619,23010
CID-4694356,23011
CID-10108434,23012
CID-551,23013
CID-21070989,23014
CID-11987813,23015
CID-5311097,23016
CID-54425480,23017
CID-100099,23018
CID-23151160,23019
CID-14956787,23020
CID-18521883,23021
CID-10863910,23022
CID-5017741,23023
CID-11398822,23024
CID-16102148,23025
CID-3465280,23026
CID-44274710,23027
CID-6850719,23028
CID-46831931,23029
CID-44426790,23030
CID-157838,23031
CID-44159647,23032
CID-23586190,23033
CID-97176,23034
CID-44337543,23035
CID-3722,23036
CID-12082281,23037
CID-56681902,23038
CID-46830768,23039
CID-9911319,23040
CID-295871,23041
CID-72201023,23042
CID-54585325,23043
CID-24832045,23044
CID-10308614,23045
CID-9889267,23046
CID-44593425,23047
CID-3000903,23048
CID-45485954,23049
CID-10547655,23050
CID-67084877,23051
CID-11615193,23052
CID-11414354,23053
CID-566402,23054
CID-91638,23055
CID-611144,23056
CID-11336799,23057
CID-44568378,23058
CID-549367,23059
CID-24783356,23060
CID-25033736,23061
CID-14967,23062
CID-598757,23063
CID-396789,23064
CID-19791021,23065
CID-57399344,23066
CID-49864553,23067
CID-11198201,23068
CID-24795102,23069
CID-44257875,23070
CID-24779629,23071
CID-69114,23072
CID-11048762,23073
CID-440919,23074
CID-44442984,23075
CID-66533,23076
CID-22742930,23077
CID-16727109,23078
CID-91153235,23079
CID-46888929,23080
CID-1363616,23081
CID-49865365,23082
CID-16749084,23083
CID-9904141,23084
CID-14536299,23085
CID-9955795,23086
CID-57345937,23087
CID-24386,23088
CID-6444600,23089
CID-392773,23090
CID-11307645,23091
CID-23017484,23092
CID-76315637,23093
CID-3663954,23094
CID-91472607,23095
CID-44820636,23096
CID-90963347,23097
CID-100153,23098
CID-10099144,23099
CID-53262782,23100
CID-10726009,23101
CID-49935,23102
CID-86592763,23103
CID-9957088,23104
CID-13071515,23105
CID-46178835,23106
CID-6540295,23107
CID-17968209,23108
CID-90645596,23109
CID-25135943,23110
CID-132123,23111
CID-21924394,23112
CID-2760840,23113
CID-6453526,23114
CID-44512617,23115
CID-26106,23116
CID-44291047,23117
CID-46237442,23118
CID-12506482,23119
CID-111205,23120
CID-45086196,23121
CID-20444,23122
CID-15942678,23123
CID-10624665,23124
CID-54691349,23125
CID-44628133,23126
CID-44322551,23127
CID-511785,23128
CID-71406480,23129
CID-11015176,23130
CID-11988336,23131
CID-639288,23132
CID-5316966,23133
CID-12071049,23134
CID-91747009,23135
CID-91144876,23136
CID-57400076,23137
CID-85904,23138
CID-90654582,23139
CID-46231310,23140
CID-11853832,23141
CID-72206071,23142
CID-5272653,23143
CID-20349372,23144
CID-10395335,23145
CID-66579,23146
CID-6539085,23147
CID-85728,23148
CID-90748958,23149
CID-23189773,23150
CID-19808190,23151
CID-23635500,23152
CID-441000,23153
CID-46225509,23154
CID-13906521,23155
CID-56676634,23156
CID-130846,23157
CID-25068797,23158
CID-14274942,23159
CID-71714596,23160
CID-54046272,23161
CID-128201,23162
CID-113916,23163
CID-196216,23164
CID-14323459,23165
CID-193726,23166
CID-49851369,23167
CID-17764895,23168
CID-46861584,23169
CID-25141367,23170
CID-5324264,23171
CID-616064,23172
CID-3084940,23173
CID-12220,23174
CID-10741,23175
CID-5288889,23176
CID-11594966,23177
CID-18674725,23178
CID-6440336,23179
CID-31249,23180
CID-5473475,23181
CID-693,23182
CID-46885576,23183
CID-605867,23184
CID-13321090,23185
CID-3388728,23186
CID-238711,23187
CID-45072191,23188
CID-9867750,23189
CID-10026136,23190
CID-50925469,23191
CID-135082,23192
CID-159627,23193
CID-9997900,23194
CID-10439,23195
CID-101720,23196
CID-50915164,23197
CID-188408,23198
CID-43591,23199
CID-5242704,23200
CID-538565,23201
CID-25108041,23202
CID-23625020,23203
CID-428,23204
CID-524834,23205
CID-21753391,23206
CID-94145,23207
CID-80037,23208
CID-9852031,23209
CID-71462245,23210
CID-134831,23211
CID-393475,23212
CID-10059031,23213
CID-5289542,23214
CID-15986113,23215
CID-45486125,23216
CID-15951636,23217
CID-154698,23218
CID-10794297,23219
CID-10768122,23220
CID-10647520,23221
CID-9828452,23222
CID-94251,23223
CID-46227600,23224
CID-163766,23225
CID-5312856,23226
CID-10104200,23227
CID-10216510,23228
CID-13221800,23229
CID-10152529,23230
CID-18615474,23231
CID-44541938,23232
CID-122872,23233
CID-3083601,23234
CID-597768,23235
CID-2185,23236
CID-18522294,23237
CID-9937709,23238
CID-10945915,23239
CID-193832,23240
CID-458258,23241
CID-17607,23242
CID-10210559,23243
CID-52947240,23244
CID-70698082,23245
CID-159931,23246
CID-3048,23247
CID-70493,23248
CID-10033008,23249
CID-469654,23250
CID-11250446,23251
CID-50943570,23252
CID-44325202,23253
CID-94184,23254
CID-135177,23255
CID-537697,23256
CID-44411483,23257
CID-107950,23258
CID-12195,23259
CID-11753159,23260
CID-45485943,23261
CID-72519,23262
CID-7090,23263
CID-163526,23264
CID-107787,23265
CID-44582528,23266
CID-44269548,23267
CID-45139590,23268
CID-6673,23269
CID-441310,23270
CID-26340,23271
CID-11486,23272
CID-44454586,23273
CID-721059,23274
CID-126748,23275
CID-2787703,23276
CID-152236,23277
CID-44452880,23278
CID-59618118,23279
CID-6454382,23280
CID-44472945,23281
CID-69558,23282
CID-191270,23283
CID-52943585,23284
CID-44272246,23285
CID-23646788,23286
CID-72197845,23287
CID-71495559,23288
CID-9907504,23289
CID-9910451,23290
CID-44404934,23291
CID-10161939,23292
CID-21954943,23293
CID-448466,23294
CID-71589049,23295
CID-56849728,23296
CID-87537482,23297
CID-203672,23298
CID-11233644,23299
CID-22550,23300
CID-132907,23301
CID-46229916,23302
CID-10291002,23303
CID-10132209,23304
CID-21073872,23305
CID-49775754,23306
CID-11293788,23307
CID-6437386,23308
CID-91160258,23309
CID-133635,23310
CID-169511,23311
CID-5317707,23312
CID-145657,23313
CID-1064,23314
CID-82456,23315
CID-49866451,23316
CID-53317560,23317
CID-69917,23318
CID-9244,23319
CID-73354373,23320
CID-25074773,23321
CID-45266793,23322
CID-1923,23323
CID-10500741,23324
CID-70942,23325
CID-19861,23326
CID-57488549,23327
CID-10391428,23328
CID-517772,23329
CID-22325320,23330
CID-76851,23331
CID-10478619,23332
CID-9795977,23333
CID-23582953,23334
CID-443806,23335
CID-91272662,23336
CID-353951,23337
CID-11182381,23338
CID-18920786,23339
CID-10696908,23340
CID-10516291,23341
CID-10091273,23342
CID-112836,23343
CID-44514210,23344
CID-10048718,23345
CID-57391293,23346
CID-25178135,23347
CID-71682766,23348
CID-115092,23349
CID-11051786,23350
CID-2800872,23351
CID-49858286,23352
CID-11397412,23353
CID-16158105,23354
CID-14045773,23355
CID-53319626,23356
CID-44219361,23357
CID-44483210,23358
CID-44412436,23359
CID-10064053,23360
CID-44520900,23361
CID-16731819,23362
CID-11239907,23363
CID-241730,23364
CID-6450005,23365
CID-10189890,23366
CID-44623924,23367
CID-154067,23368
CID-85643581,23369
CID-13396,23370
CID-24721242,23371
CID-163300,23372
CID-10814682,23373
CID-55786,23374
CID-44392663,23375
CID-11512730,23376
CID-10377602,23377
CID-139040,23378
CID-72189794,23379
CID-44428534,23380
CID-3005982,23381
CID-10553921,23382
CID-53248983,23383
CID-3355889,23384
CID-165288,23385
CID-62697,23386
CID-12518745,23387
CID-10745838,23388
CID-44367816,23389
CID-71533702,23390
CID-11329244,23391
CID-97911,23392
CID-10253567,23393
CID-44341876,23394
CID-143639,23395
CID-49984,23396
CID-44345998,23397
CID-16755958,23398
CID-73346040,23399
CID-328045,23400
CID-3083084,23401
CID-124817,23402
CID-10336604,23403
CID-10467587,23404
CID-44319082,23405
CID-150833,23406
CID-276741,23407
CID-128320,23408
CID-10185047,23409
CID-10949727,23410
CID-44332735,23411
CID-57339628,23412
CID-3940533,23413
CID-44155200,23414
CID-70696620,23415
CID-11266,23416
CID-10191,23417
CID-72546738,23418
CID-24863596,23419
CID-5324,23420
CID-10125445,23421
CID-11247889,23422
CID-550525,23423
CID-107775,23424
CID-2520,23425
CID-152154,23426
CID-44413843,23427
CID-60202364,23428
CID-145970,23429
CID-11567371,23430
CID-801897,23431
CID-54285051,23432
CID-129303,23433
