drug,map
CID-71580550,188530
CID-16110305,188531
CID-172198,188532
CID-5330258,188533
CID-46877390,188534
CID-9841834,188535
CID-6131,188536
CID-9885504,188537
CID-11245983,188538
CID-10588118,188539
CID-24989956,188540
CID-683379,188541
CID-24808489,188542
CID-16757571,188543
CID-25227633,188544
CID-9965141,188545
CID-5289531,188546
CID-380161,188547
CID-49866090,188548
CID-757562,188549
CID-5369209,188550
CID-16043304,188551
CID-10130120,188552
CID-9601217,188553
CID-11646379,188554
CID-10198326,188555
CID-14484008,188556
CID-11075845,188557
CID-266989,188558
CID-11436221,188559
CID-11188898,188560
CID-44632008,188561
CID-44366170,188562
CID-12001016,188563
CID-24755140,188564
CID-10095904,188565
CID-1747,188566
CID-46936855,188567
CID-9941008,188568
CID-2427,188569
CID-16721024,188570
CID-9822139,188571
CID-24219273,188572
CID-441412,188573
CID-1933,188574
CID-54727972,188575
CID-2752926,188576
CID-447962,188577
CID-23644582,188578
CID-44406807,188579
CID-44417350,188580
CID-9938202,188581
CID-56940925,188582
CID-11406590,188583
CID-10585323,188584
CID-11740318,188585
CID-42647299,188586
CID-11840970,188587
CID-9948853,188588
CID-44440706,188589
CID-10979664,188590
CID-24827312,188591
CID-46232143,188592
CID-25133613,188593
CID-2776424,188594
CID-125917,188595
CID-73755097,188596
CID-5521244,188597
CID-52946209,188598
CID-10472693,188599
CID-44288042,188600
CID-71183,188601
CID-44294636,188602
CID-44418894,188603
CID-44410733,188604
CID-11417158,188605
CID-70691446,188606
CID-25210479,188607
CID-44542509,188608
CID-44559170,188609
CID-44355267,188610
CID-11761968,188611
CID-6324614,188612
CID-44412128,188613
CID-9803617,188614
CID-6857599,188615
CID-44584685,188616
CID-6323452,188617
CID-6918788,188618
CID-25060878,188619
CID-4437,188620
CID-12594,188621
CID-11300126,188622
CID-60700,188623
CID-46884012,188624
CID-102533798,188625
CID-46233264,188626
CID-19779451,188627
CID-25025860,188628
CID-6439091,188629
CID-176,188630
CID-10354477,188631
CID-24788740,188632
CID-73755188,188633
CID-56947035,188634
CID-10313386,188635
CID-16156573,188636
CID-3500,188637
CID-49864204,188638
CID-82553,188639
CID-135402045,188640
CID-69507,188641
CID-2733961,188642
CID-11851317,188643
CID-25021183,188644
CID-11646777,188645
CID-22319580,188646
CID-11554659,188647
CID-6324663,188648
CID-14702424,188649
CID-10891349,188650
CID-128882,188651
CID-44426508,188652
CID-3000391,188653
CID-31401,188654
CID-42642718,188655
CID-44584675,188656
CID-72202697,188657
CID-44563685,188658
CID-184877,188659
CID-44430036,188660
CID-6438361,188661
CID-10084377,188662
CID-16108884,188663
CID-14774521,188664
CID-54041632,188665
CID-2771762,188666
CID-6439424,188667
CID-91827359,188668
CID-46890532,188669
CID-446220,188670
CID-4552,188671
CID-59548652,188672
CID-46231936,188673
CID-86290500,188674
CID-23631475,188675
CID-64972,188676
CID-44560630,188677
CID-44308929,188678
CID-13660221,188679
CID-14898713,188680
CID-447336,188681
CID-5330535,188682
CID-16737617,188683
CID-10635415,188684
CID-5477831,188685
CID-121846,188686
CID-11558153,188687
CID-50909779,188688
CID-11673051,188689
CID-5468216,188690
CID-4747,188691
CID-518962,188692
CID-398369,188693
CID-127151,188694
CID-473568,188695
CID-9445,188696
CID-25323027,188697
CID-56463,188698
CID-44417638,188699
CID-11501108,188700
CID-5289424,188701
CID-5311507,188702
CID-132270,188703
CID-16122582,188704
CID-24863955,188705
CID-119053,188706
CID-610682,188707
CID-130023,188708
CID-44391592,188709
CID-6102762,188710
CID-751320,188711
CID-56843331,188712
CID-78357808,188713
CID-9903497,188714
CID-16136567,188715
CID-5387248,188716
CID-57328392,188717
CID-44370460,188718
CID-44246261,188719
CID-294641,188720
CID-14106263,188721
CID-49867930,188722
CID-9978312,188723
CID-9937377,188724
CID-57521365,188725
CID-6505803,188726
CID-415267,188727
CID-50192,188728
CID-11629355,188729
CID-10696160,188730
CID-71291068,188731
CID-1359,188732
CID-25190931,188733
CID-220876,188734
CID-24827526,188735
CID-72199293,188736
CID-134835,188737
CID-44421955,188738
CID-11160307,188739
CID-25129137,188740
CID-44599207,188741
CID-11185819,188742
CID-16129704,188743
CID-56947064,188744
CID-9874838,188745
CID-92974,188746
CID-686127,188747
CID-53317097,188748
CID-11356877,188749
CID-46232081,188750
CID-7028,188751
CID-5287463,188752
CID-3037233,188753
CID-981611,188754
CID-5892,188755
CID-11184286,188756
CID-44422187,188757
CID-11257168,188758
CID-620596,188759
CID-44434951,188760
CID-44379433,188761
CID-44577306,188762
CID-22845140,188763
CID-968879,188764
CID-44418326,188765
CID-11617054,188766
CID-44403758,188767
CID-10491441,188768
CID-5289227,188769
CID-6918012,188770
CID-86277835,188771
CID-11288209,188772
CID-44296025,188773
CID-44593439,188774
CID-44591633,188775
CID-9560989,188776
CID-10331244,188777
CID-2773727,188778
CID-16035342,188779
CID-821620,188780
CID-6860,188781
CID-5281077,188782
CID-24755070,188783
CID-9856396,188784
CID-44560674,188785
CID-6312649,188786
CID-14936865,188787
CID-87300,188788
CID-23725699,188789
CID-57369297,188790
CID-13917758,188791
CID-91866823,188792
CID-44418349,188793
CID-52944989,188794
CID-439220,188795
CID-11522042,188796
CID-12012177,188797
CID-26879,188798
CID-11424128,188799
CID-44413811,188800
CID-121990,188801
CID-10707108,188802
CID-16114635,188803
CID-28787671,188804
CID-10035413,188805
CID-5328512,188806
CID-25208904,188807
CID-52946144,188808
CID-11600877,188809
CID-8153,188810
CID-46901446,188811
CID-10985299,188812
CID-6323526,188813
CID-188326,188814
CID-44465702,188815
CID-445344,188816
CID-443408,188817
CID-176405,188818
CID-15693951,188819
CID-23627612,188820
CID-10436045,188821
CID-46901929,188822
CID-6436030,188823
CID-46939837,188824
CID-46905896,188825
CID-9917013,188826
CID-54299595,188827
CID-11391495,188828
CID-17473,188829
CID-73755030,188830
CID-9871791,188831
CID-11680597,188832
CID-6539784,188833
CID-130667,188834
CID-9929901,188835
CID-16219192,188836
CID-446592,188837
CID-44406790,188838
CID-5326978,188839
CID-10134160,188840
CID-6438895,188841
CID-10038543,188842
CID-126810,188843
CID-22617750,188844
CID-446757,188845
CID-6851740,188846
CID-6440621,188847
CID-457736,188848
CID-44413276,188849
CID-58368068,188850
CID-10029385,188851
CID-45140373,188852
CID-23652731,188853
CID-44133853,188854
CID-25263223,188855
CID-44622850,188856
CID-42618032,188857
CID-129211,188858
CID-6419835,188859
CID-688357,188860
CID-24863103,188861
CID-219108,188862
CID-10638850,188863
CID-6918320,188864
CID-24794466,188865
CID-44440732,188866
CID-3074331,188867
CID-9915372,188868
CID-57778011,188869
CID-12718449,188870
CID-11637291,188871
CID-71401,188872
CID-16203539,188873
CID-44456128,188874
CID-643606,188875
CID-9910352,188876
CID-4369434,188877
CID-14146437,188878
CID-11338749,188879
CID-46233485,188880
CID-56603730,188881
CID-701943,188882
CID-15747210,188883
CID-44424411,188884
CID-165244,188885
CID-5287673,188886
CID-16131438,188887
CID-11518241,188888
CID-10591750,188889
CID-44388115,188890
CID-49867154,188891
CID-107464,188892
CID-2296132,188893
