gene,map
Entrez-56957,983
Entrez-80256,984
Entrez-6627,985
Entrez-26254,986
Entrez-4709,987
Entrez-401588,988
Entrez-3702,989
Entrez-439927,990
Entrez-220296,991
Entrez-83551,992
Entrez-406898,993
Entrez-81706,994
Entrez-10653,995
Entrez-2690,996
Entrez-285367,997
Entrez-83482,998
Entrez-647310,999
Entrez-388611,1000
Entrez-90139,1001
Entrez-400242,1002
Entrez-3156,1003
Entrez-90589,1004
Entrez-149685,1005
Entrez-53615,1006
Entrez-100507050,1007
Entrez-684959,1008
Entrez-400713,1009
Entrez-5601,1010
Entrez-81615,1011
Entrez-221120,1012
Entrez-79736,1013
Entrez-811,1014
Entrez-23268,1015
Entrez-100506826,1016
Entrez-7480,1017
Entrez-8358,1018
Entrez-5725,1019
Entrez-100129845,1020
Entrez-100423035,1021
Entrez-140290,1022
Entrez-139716,1023
Entrez-100500876,1024
Entrez-326343,1025
Entrez-1286,1026
Entrez-170691,1027
Entrez-693183,1028
Entrez-407040,1029
Entrez-401282,1030
Entrez-1270,1031
Entrez-71,1032
Entrez-22803,1033
Entrez-440270,1034
Entrez-10478,1035
Entrez-51050,1036
Entrez-284422,1037
Entrez-25871,1038
Entrez-338442,1039
Entrez-6764,1040
Entrez-100874239,1041
Entrez-4852,1042
Entrez-1374,1043
Entrez-3175,1044
Entrez-151516,1045
Entrez-100302280,1046
Entrez-55742,1047
Entrez-83876,1048
Entrez-9997,1049
Entrez-79690,1050
Entrez-387597,1051
Entrez-55210,1052
Entrez-79633,1053
Entrez-390199,1054
Entrez-146705,1055
Entrez-654322,1056
Entrez-57724,1057
Entrez-441046,1058
Entrez-199699,1059
Entrez-3899,1060
Entrez-100422854,1061
Entrez-284723,1062
Entrez-151354,1063
Entrez-23205,1064
Entrez-84002,1065
Entrez-1975,1066
Entrez-11010,1067
Entrez-23456,1068
Entrez-5798,1069
Entrez-4205,1070
Entrez-147184,1071
Entrez-8737,1072
Entrez-221458,1073
Entrez-170692,1074
Entrez-100616398,1075
Entrez-2770,1076
Entrez-401613,1077
Entrez-54942,1078
Entrez-146433,1079
Entrez-135398,1080
Entrez-64855,1081
Entrez-30832,1082
Entrez-147525,1083
Entrez-729732,1084
Entrez-80150,1085
Entrez-64798,1086
Entrez-10370,1087
Entrez-100506215,1088
Entrez-100170219,1089
Entrez-1184,1090
Entrez-2282,1091
Entrez-388963,1092
Entrez-7476,1093
Entrez-274,1094
Entrez-27143,1095
Entrez-10379,1096
Entrez-150921,1097
Entrez-7077,1098
Entrez-84316,1099
Entrez-51079,1100
Entrez-692089,1101
Entrez-91695,1102
Entrez-11272,1103
Entrez-27129,1104
Entrez-160365,1105
Entrez-8638,1106
Entrez-390205,1107
Entrez-3949,1108
Entrez-374355,1109
Entrez-2791,1110
Entrez-6328,1111
Entrez-162466,1112
Entrez-406903,1113
Entrez-3726,1114
Entrez-79917,1115
Entrez-84988,1116
Entrez-2597,1117
Entrez-64221,1118
Entrez-3452,1119
Entrez-3568,1120
Entrez-116984,1121
Entrez-7314,1122
Entrez-6506,1123
Entrez-51239,1124
Entrez-100616289,1125
Entrez-149428,1126
Entrez-6616,1127
Entrez-120586,1128
Entrez-4059,1129
Entrez-54345,1130
Entrez-27141,1131
Entrez-220164,1132
Entrez-284186,1133
Entrez-613212,1134
Entrez-9662,1135
Entrez-2488,1136
Entrez-55357,1137
Entrez-206358,1138
Entrez-84436,1139
Entrez-25852,1140
Entrez-8825,1141
Entrez-23764,1142
Entrez-55013,1143
Entrez-286827,1144
Entrez-5639,1145
Entrez-100616124,1146
Entrez-10753,1147
Entrez-51807,1148
Entrez-54814,1149
Entrez-11180,1150
Entrez-653687,1151
Entrez-100130988,1152
Entrez-11191,1153
Entrez-129450,1154
Entrez-146771,1155
Entrez-55672,1156
Entrez-115265,1157
Entrez-1474,1158
Entrez-81928,1159
Entrez-594842,1160
Entrez-56948,1161
Entrez-3329,1162
Entrez-283416,1163
Entrez-9252,1164
Entrez-85013,1165
Entrez-9481,1166
Entrez-79187,1167
Entrez-759,1168
Entrez-253782,1169
Entrez-148103,1170
Entrez-283159,1171
Entrez-440153,1172
Entrez-85315,1173
Entrez-23007,1174
Entrez-79856,1175
Entrez-2021,1176
Entrez-1356,1177
Entrez-134510,1178
Entrez-406999,1179
Entrez-10084,1180
Entrez-6205,1181
Entrez-166793,1182
Entrez-100616208,1183
Entrez-81557,1184
Entrez-100750325,1185
Entrez-170591,1186
Entrez-6540,1187
Entrez-644914,1188
Entrez-692208,1189
Entrez-399671,1190
Entrez-2706,1191
Entrez-57282,1192
Entrez-10096,1193
Entrez-7107,1194
Entrez-115290,1195
Entrez-100126308,1196
Entrez-55650,1197
Entrez-693121,1198
Entrez-100379251,1199
Entrez-6362,1200
Entrez-81469,1201
Entrez-6845,1202
Entrez-100128505,1203
Entrez-115294,1204
Entrez-23504,1205
Entrez-54952,1206
Entrez-57115,1207
Entrez-6360,1208
Entrez-8721,1209
Entrez-29081,1210
Entrez-643382,1211
Entrez-171389,1212
Entrez-8890,1213
Entrez-135935,1214
Entrez-816,1215
Entrez-30062,1216
Entrez-314,1217
Entrez-283867,1218
Entrez-54089,1219
Entrez-9826,1220
Entrez-406956,1221
Entrez-6165,1222
Entrez-100128398,1223
Entrez-9040,1224
Entrez-729852,1225
Entrez-57221,1226
Entrez-64065,1227
Entrez-55728,1228
Entrez-388284,1229
Entrez-8578,1230
Entrez-2267,1231
Entrez-116372,1232
Entrez-283694,1233
Entrez-252839,1234
Entrez-345630,1235
Entrez-51647,1236
Entrez-11216,1237
Entrez-79714,1238
Entrez-4126,1239
Entrez-56169,1240
Entrez-51334,1241
Entrez-64224,1242
Entrez-3357,1243
Entrez-728294,1244
Entrez-255031,1245
Entrez-83690,1246
Entrez-692235,1247
Entrez-100616261,1248
Entrez-26040,1249
Entrez-8200,1250
Entrez-285758,1251
Entrez-1768,1252
Entrez-729396,1253
Entrez-134430,1254
Entrez-115123,1255
Entrez-158809,1256
Entrez-100131138,1257
Entrez-25975,1258
Entrez-100337591,1259
Entrez-387640,1260
Entrez-256329,1261
Entrez-390439,1262
Entrez-10668,1263
Entrez-23253,1264
Entrez-4969,1265
Entrez-474338,1266
Entrez-100506314,1267
Entrez-100126345,1268
Entrez-5031,1269
Entrez-5030,1270
Entrez-84947,1271
Entrez-8740,1272
Entrez-79174,1273
Entrez-51179,1274
Entrez-115548,1275
Entrez-22990,1276
Entrez-5300,1277
Entrez-132014,1278
Entrez-3216,1279
Entrez-3553,1280
Entrez-147694,1281
Entrez-57130,1282
Entrez-29062,1283
Entrez-84302,1284
Entrez-642946,1285
Entrez-256987,1286
Entrez-7869,1287
Entrez-80144,1288
Entrez-6594,1289
Entrez-100526820,1290
Entrez-8742,1291
Entrez-2792,1292
Entrez-63925,1293
Entrez-114876,1294
Entrez-8050,1295
Entrez-715,1296
Entrez-22913,1297
Entrez-22987,1298
Entrez-221395,1299
Entrez-5092,1300
Entrez-100507389,1301
Entrez-23761,1302
Entrez-51506,1303
Entrez-55238,1304
Entrez-55915,1305
Entrez-23030,1306
Entrez-790,1307
Entrez-5992,1308
Entrez-84790,1309
Entrez-10105,1310
Entrez-26122,1311
Entrez-114819,1312
Entrez-8883,1313
Entrez-5599,1314
Entrez-343521,1315
Entrez-84330,1316
Entrez-55293,1317
Entrez-619564,1318
Entrez-720,1319
Entrez-140738,1320
Entrez-56949,1321
Entrez-84336,1322
Entrez-26953,1323
Entrez-4308,1324
Entrez-442891,1325
Entrez-79799,1326
Entrez-5432,1327
Entrez-56124,1328
Entrez-100422881,1329
Entrez-64101,1330
Entrez-8893,1331
Entrez-3092,1332
Entrez-168544,1333
Entrez-387723,1334
Entrez-79057,1335
Entrez-406926,1336
Entrez-724087,1337
Entrez-150726,1338
Entrez-57688,1339
Entrez-119774,1340
Entrez-100188947,1341
Entrez-724025,1342
Entrez-8997,1343
Entrez-6462,1344
Entrez-100302169,1345
Entrez-79368,1346
Entrez-647979,1347
Entrez-2846,1348
Entrez-11217,1349
Entrez-100616358,1350
Entrez-22835,1351
Entrez-140881,1352
Entrez-55664,1353
Entrez-8851,1354
Entrez-9919,1355
