drug_pubchemcid,disease_icd10
61415,207646
189743,207646
61415,207990
189743,207990
61415,208331
189743,208331
61415,208264
189743,208264
61415,204508
189743,204508
61415,205331
189743,205331
61415,204405
189743,204405
61415,203271
189743,203271
61415,208018
189743,208018
61415,207851
189743,207851
61415,207528
189743,207528
61415,205142
189743,205142
61415,208166
189743,208166
61415,205127
189743,205127
61415,208602
189743,208602
61415,207533
189743,207533
61415,204102
189743,204102
61415,205409
189743,205409
61415,204502
189743,204502
61415,203503
189743,203503
61415,203801
189743,203801
61415,207077
189743,207077
61415,205897
189743,205897
61415,206836
189743,206836
61415,207434
189743,207434
61415,207035
189743,207035
61415,208049
189743,208049
61415,207249
189743,207249
61415,207336
189743,207336
61415,206666
189743,206666
61415,208191
189743,208191
33036,204974
33036,206955
96830,207260
96830,206342
96830,208419
96830,205127
191848,205857
191848,204566
191848,207361
191848,203841
191848,205363
191848,205947
191848,205213
191848,205045
191848,204710
191848,207845
191848,203719
191848,204681
191848,207504
196402,204909
196402,204270
196402,208151
196402,203671
196402,205277
196402,208710
196402,205575
196402,207268
196402,207930
196402,205370
196402,204238
196402,207566
196402,204229
196402,205490
196402,208589
196402,204149
196402,206814
196402,207424
196402,206078
196402,208632
196402,205250
196402,207369
196402,205339
196402,207732
196402,204168
196402,203551
196402,204470
196402,207335
196402,203244
196402,204519
196402,203543
196402,206219
196402,206220
196402,208582
196402,206835
196402,207159
196402,203812
196402,208378
196402,203883
196402,205196
196402,208518
196402,204770
196402,207653
196402,204248
196402,208288
196402,207313
196402,204784
196402,204119
196402,207122
196402,206336
196402,205247
196402,204540
196402,205571
196402,208819
196402,206165
196402,203833
196402,203507
196402,208250
196402,207532
196402,207213
196402,206440
196402,208282
196402,208834
196402,206834
196402,205937
196402,203949
196402,204560
196402,206551
196402,208435
196402,204224
196402,205398
196402,208015
196402,208615
196402,205076
196402,207155
196402,208118
196402,204444
196402,208593
196402,203646
196402,205448
196402,208596
196402,203481
196402,208272
196402,207706
196402,205020
196402,204422
196402,204790
196402,204544
196402,206397
196402,205650
196402,208634
196402,208374
196402,205373
196402,207163
196402,206267
196402,204398
196402,205687
196402,203703
196402,208512
196402,208756
196402,204858
196402,205166
196402,206085
196402,203690
196402,203898
196402,206740
196402,204991
196402,207260
196402,207627
196402,204056
196402,207634
196402,204192
196402,204800
196402,206410
196402,208354
196402,203529
196402,207802
196402,205657
196402,208145
196402,204285
196402,207038
196402,208782
196402,203404
196402,207768
196402,208060
196402,208452
196402,206218
196402,207018
196402,205479
196402,203893
196402,208703
196402,205225
196402,206040
196402,204171
196402,205488
196402,207415
196402,208110
196402,206202
196402,207952
196402,205069
196402,204365
196402,204342
196402,205545
196402,204166
196402,204296
196402,204596
196402,206830
196402,206086
196402,205965
196402,206342
196402,203255
196402,204382
196402,208652
196402,207205
196402,208419
196402,207465
196402,207578
196402,207827
196402,206355
196402,205691
196402,204937
196402,204604
196402,206268
196402,203745
196402,206627
196402,205014
196402,206654
196402,207646
196402,207990
196402,208331
196402,208264
196402,204508
196402,205331
196402,204405
196402,203271
196402,208018
196402,207851
196402,207528
196402,205142
196402,208166
196402,205127
196402,208602
196402,207533
196402,204102
196402,205409
196402,204502
196402,203503
196402,203801
196402,207077
196402,205897
196402,206836
196402,207434
196402,207035
196402,208049
196402,207249
196402,207336
196402,206666
196402,208191
175630,205994
175630,205392
175630,207023
175630,206709
175630,203370
175630,205706
175630,203779
175630,204226
175630,204558
175630,203426
175630,208180
175630,205587
175630,206979
175630,203793
175630,207945
175630,208438
175630,203253
132457,204480
192992,206955
201943,203657
201943,208361
201943,204518
201943,207399
201943,205977
201943,205089
201943,204930
201943,204194
201943,207964
201943,207444
201943,204449
201943,205938
201943,207584
201943,203753
201943,203844
201943,206024
201943,207750
201943,206323
201943,207793
201943,207030
201943,206717
201943,206691
201943,207480
201943,206543
105832,207763
195086,205221
189185,205176
23326,204388
108854,207027
41401,204794
50115,207413
181391,207260
181391,206342
181391,208419
181391,205127
196449,208545
202594,207683
196343,206617
200702,207332
190099,206241
50058,204458
50058,208778
106999,204480
106999,204522
106999,203343
106999,206630
106999,205161
106999,205776
106999,204971
106999,206506
106999,205936
106999,208645
106999,206393
106999,203923
106999,206846
106999,204554
106999,205664
106999,206399
106999,204777
65278,207584
60399,204159
199110,205359
199110,203538
191679,204829
199970,204388
199970,206241
201039,207260
201039,206342
201039,208419
201039,205127
144293,206342
143151,207580
190987,204673
190987,207471
190987,207239
190987,207323
190987,208076
190987,205186
190987,204139
190987,208089
190987,207704
168546,205977
54878,206151
139250,204480
110192,205994
110192,205392
110192,207023
110192,206709
110192,203370
110192,205706
110192,203779
110192,204226
110192,204558
110192,203426
110192,208180
110192,205587
110192,206979
110192,203793
110192,207945
110192,208438
110192,203253
193382,207141
72946,204794
199733,204856
73646,206780
200921,206342
195679,203608
62912,207581
68383,205203
195807,204388
78527,204056
70994,207138
192593,206242
192593,203899
192593,203539
192593,207386
192593,207348
192593,203856
192593,207621
192593,206786
192593,208267
192593,208111
192593,208251
192593,206068
192593,204838
192593,205940
192593,204014
192593,206271
192593,206912
192593,204310
192593,204978
192593,205359
192593,205245
192593,204798
192593,204298
192593,204780
192593,206377
192593,208324
192593,205732
192593,204524
192593,205568
192593,204581
192593,208497
192593,204287
192593,204872
192593,205459
192593,207182
192593,205097
192593,205585
192593,203538
192593,205933
192593,205461
192593,207619
192593,205427
192593,205672
192593,207318
192593,204837
192593,206407
192593,206070
192593,206984
192593,204385
192593,206051
192593,207929
192593,203891
192593,204196
192593,204584
192593,206804
192593,206970
192593,203312
192593,206063
192593,206641
192593,208392
192593,208809
192593,203629
192593,205234
192593,206993
192593,206716
192593,207626
192593,203806
192593,208813
192593,205949
200750,203620
200750,206604
200750,208468
200750,206791
200750,206568
200750,208661
200750,206673
200750,206007
200750,207516
200750,203300
200750,203516
200750,205408
200750,204799
200750,203368
200750,206554
200750,204294
200750,204517
200750,204868
200750,204853
200750,206555
200750,203578
200750,206383
200750,205430
200750,204053
200750,205156
200750,204144
200750,208307
200750,208263
200750,206805
200750,205115
200750,206478
200750,207184
200750,204156
200750,205063
200750,206570
200750,204187
186758,206890
186758,203802
186758,205029
186758,207435
186758,206761
186758,203304
186758,208496
186758,207022
186758,205134
186758,205317
186758,207140
186758,206196
186758,204913
186758,204212
186758,208548
186758,206442
186758,203445
186758,206054
186758,207401
186758,204319
186758,206456
186758,206678
186758,203326
186758,207105
186758,204928
186758,207281
186758,204360
186758,205481
186758,204738
186758,205970
186758,208530
186758,204201
186758,206873
186758,206059
186758,208494
186758,203804
186758,203800
186758,206290
186758,206943
186758,204303
186758,206871
186758,208187
186758,208788
186758,208673
186758,206373
186758,207429
186758,208305
186758,207419
186758,204980
186758,205832
186758,205903
186758,208283
186758,207371
186758,206177
186758,205909
186758,207180
186758,207612
186758,208692
186758,206888
186758,207893
186758,204140
186758,205206
186758,204609
186758,203990
186758,207846
186758,206502
186758,205414
186758,207811
186758,206451
186758,208429
186758,205177
186758,208753
186758,204324
186758,207863
186758,207044
186758,205655
186758,205262
186758,208122
186758,204505
186758,205956
186758,206503
186758,205009
186758,204486
186758,205573
186758,208495
186758,207631
186758,206689
186758,206852
186758,206563
186758,203532
186758,203601
186758,203415
186758,205268
186758,206118
186758,206734
186758,208234
186758,204848
186758,208192
186758,205516
186758,206564
28780,207135
52444,207260
52444,206342
52444,208419
52444,205127
144605,204159
62086,203589
107450,206267
179726,207260
179726,206342
179726,208419
179726,205127
167735,206970
170211,204486
196350,208433
129023,208622
69356,205994
69356,205392
69356,207023
69356,206709
69356,203370
69356,205706
69356,203779
69356,204226
69356,204558
69356,203426
69356,208180
69356,205587
69356,206979
69356,203793
69356,207945
69356,208438
69356,203253
193706,208551
156722,203608
194513,203567
127608,208169
190953,204154
175656,207260
175656,206342
175656,208419
175656,205127
199633,205942
188743,203784
193891,205234
192740,206943
33808,204931
201143,207562
201143,205805
201143,207664
201143,207138
201143,205252
144558,207260
144558,206342
144558,208419
144558,205127
201443,203539
121307,205277
121307,208710
121307,205575
153625,207332
82908,205937
198351,208324
198351,208433
159874,207664
155135,207562
155135,205805
155135,207664
155135,207138
155135,205252
190243,208269
51992,204673
51992,207471
51992,207239
51992,207323
51992,208076
51992,205186
51992,204139
51992,208089
51992,207704
51992,203757
196027,203608
192072,204145
138230,207580
195508,204388
141714,206780
200386,206241
201927,208008
91123,208790
91123,208255
91123,204745
91123,204940
91123,203924
91123,204013
91123,204250
91123,205630
91123,207754
91123,204530
91123,207283
91123,208586
91123,204408
91123,206991
91123,205098
91123,205004
91123,204290
91123,207725
91123,205669
91123,207203
91123,203754
91123,206818
91123,207427
91123,204093
91123,207217
91123,207040
91123,205914
91123,207663
91123,204304
91123,203518
91123,204567
91123,204760
91123,204881
91123,205865
91123,205390
91123,205886
91123,204611
91123,204117
91123,207112
91123,208783
91123,203799
91123,205413
91123,203847
91123,205687
107572,203551
190061,207562
190061,205805
190061,207664
190061,207138
190061,205252
66585,204480
187634,207015
187634,207450
201042,207544
24469,205635
39789,204673
39789,207471
39789,207239
39789,207323
39789,208076
39789,205186
39789,204139
39789,208089
39789,207704
109867,205283
164328,204458
164328,208778
187800,204673
187800,207471
187800,207239
187800,207323
187800,208076
187800,205186
187800,204139
187800,208089
187800,207704
187800,207460
187800,203737
187800,208249
187800,204489
187800,205309
187800,208008
187800,206269
187800,205644
187800,208042
187800,206344
155084,204458
155084,208778
202219,207015
202219,207450
189186,204683
202163,207332
195047,204350
38239,205944
151502,207434
191720,203516
189974,203516
191560,203453
199595,207643
194201,204176
190981,208188
203056,206682
46370,207015
46370,207450
120278,204630
28980,207260
28980,206342
28980,208419
28980,205127
189557,205111
189557,205651
201578,203477
124614,203972
190371,204378
190371,208134
190371,204249
190371,206190
190371,206012
190371,207145
190371,207307
190371,208182
190371,207363
190371,203499
190371,206723
190371,203881
190371,205807
190371,205403
190371,207453
190371,207591
190371,204027
190371,207031
190371,205660
190371,207179
190371,208231
190371,203931
190371,203926
190371,207240
189603,207260
189603,206342
189603,208419
189603,205127
32243,207562
32243,205805
32243,207664
32243,207138
32243,205252
183468,203772
183468,205111
183468,206941
183468,204357
183468,204785
183468,207770
183468,205659
183468,207029
183468,205651
183468,208297
183468,207608
183468,208269
200187,207339
200187,203880
200187,207389
200187,204291
200187,205275
200187,206748
200187,203698
200187,204846
200187,203449
200187,203615
200187,205345
200187,207650
200187,206507
200187,205113
200187,206739
200187,204030
200187,204034
200187,208270
200187,206099
107902,206718
191900,203608
41821,204708
123115,204388
194161,205942
190576,207065
190576,203277
190576,203407
190576,205024
190576,208195
190576,207373
190576,208720
190576,204577
190576,204513
190576,206160
190576,206859
190576,207563
190576,204541
190576,204142
190576,206214
190576,206450
190576,206026
190576,206632
190576,208736
190576,207731
190576,205396
190576,206320
190576,206461
190576,208040
190576,205743
190576,207304
190576,203444
190576,203265
190576,207113
190576,203443
190576,205425
190576,203664
190576,203483
190576,207194
190576,205053
190576,206947
190576,203857
190576,205093
190576,203815
190576,206950
190576,204472
130838,203539
95978,206761
189503,206200
99775,205995
99775,204610
99775,208390
99775,207480
99775,207584
99775,206559
99775,203753
99775,207231
99775,206155
99775,207707
99775,203269
99775,204431
99775,206479
99775,206913
99775,205016
99775,206839
99775,203442
99775,203264
99775,206600
99775,205766
99775,203528
99775,208426
99775,204343
99775,208744
99775,207243
99775,204267
99775,204812
99775,206691
99775,207174
99775,207643
99775,204033
99775,203374
99775,208460
99775,208424
99775,206543
99775,206186
99775,207238
99775,205896
99775,203349
99775,204576
99775,206360
99775,205759
99775,203464
99775,206717
99775,206282
99775,208252
99775,206279
99775,204667
99775,207123
99775,204194
99775,206515
99775,204237
99775,205209
99775,204188
99775,205308
99775,204440
99775,205740
99775,206286
99775,203781
99775,206321
99775,204272
99775,208080
99775,205978
99775,207278
99775,205792
99775,203534
99775,208098
99775,205066
99775,208527
99775,205092
99775,205543
99775,206663
99775,203358
99775,205202
99775,204689
99775,207804
99775,204447
99775,205625
99775,206082
99775,204542
99775,205133
99775,204009
99775,204468
99775,208752
99775,206942
99775,208507
99775,207829
99775,203863
99775,205670
99775,203981
99775,204918
99775,205877
99775,206480
99775,206323
99775,206528
99775,203330
99775,208147
99775,206033
99775,206776
99775,207964
99775,208194
99775,208188
99775,207795
99775,208348
99775,203554
99775,208157
99775,205450
99775,205927
99775,205350
99775,204771
99775,207506
99775,204323
99775,204768
99775,207752
99775,205969
99775,206453
99775,203511
99775,203402
99775,204289
99775,207974
99775,208143
99775,206283
99775,204451
99775,208144
99775,207433
99775,205715
99775,206247
99775,205311
99775,208608
99775,207291
99775,205391
99775,205831
99775,205888
99775,204981
99775,204518
99775,207993
99775,206259
99775,204111
99775,207444
99775,204449
99775,206989
99775,205958
99775,205374
99775,207568
99775,205498
99775,208055
99775,207801
99775,206128
99775,208423
99775,204998
99775,206295
99775,203524
99775,207187
99775,207759
99775,206455
99775,205437
99775,206352
99775,207025
99775,204165
99775,206613
99775,203822
99775,205096
99775,205763
99775,206244
99775,205828
99775,205081
99775,203520
99775,204926
99775,208314
99775,207793
99775,203611
99775,203657
99775,208361
99775,208594
99775,207399
99775,205977
99775,205089
99775,204930
99775,204891
99775,205938
99775,206920
99775,204038
99775,203844
99775,206024
