drug_pubchemcid,target_entrez
193143,23
196430,6294
195100,6294
70785,16564
199012,15199
199012,18925
193535,6294
199684,3058
199684,17818
199684,19419
199684,4973
199684,269
199684,6718
199684,17724
199684,4073
199684,15373
199684,6428
199684,2617
199684,17116
199684,1973
199684,18300
199684,11378
199684,6434
199684,9445
199684,22152
199684,15318
199684,18987
199684,21516
199684,14493
199684,17209
199684,9283
199684,13386
199684,4039
199684,9444
199684,5727
199395,18424
201727,14444
201727,6434
46721,20664
70717,7376
191124,12969
195041,12969
197354,7775
195534,10116
190152,5140
200026,3492
200026,20593
198116,6555
195363,6555
190339,18827
87270,546
199094,10222
199277,19225
197319,21622
201879,16740
203009,6357
188283,21516
154883,8900
154883,18156
196318,8801
196318,2589
65260,9266
65260,18045
65260,22100
197933,2589
190934,18156
200730,18156
193901,18156
190215,6192
44861,8497
195550,12585
198707,12011
203030,8900
192802,1425
140262,4973
140262,17724
140262,17955
140262,77
140262,4964
140262,16476
140262,5393
140262,19330
140262,12609
140262,6535
140262,10700
140262,9991
140262,20272
140262,18183
140262,12396
140262,15815
140262,13908
140262,19754
140262,13735
140262,22152
140262,18887
140262,496
140262,15661
140262,3492
140262,14493
140262,21569
140262,21787
140262,15178
140262,4312
140262,10046
140262,9812
140262,11315
71689,12096
199332,5918
195749,3704
195749,6721
195749,13130
195749,201
194792,4248
203054,17955
203054,19225
202238,8900
47882,12508
47882,13908
47882,14506
47882,21787
194605,8900
194605,18156
194287,8900
194287,18156
194022,9158
199923,12858
199923,8616
199923,21249
75466,16649
75466,10022
75466,838
75466,17074
75466,11066
133975,13444
133975,7775
202521,1752
202521,210
116955,17753
193826,17692
193826,20923
193826,16391
193826,8136
193826,19496
192197,4740
195138,4740
196617,4740
201883,4740
191752,4740
200970,4740
195107,4740
197128,4740
101850,493
34088,15199
200477,893
203109,20048
187717,1584
187476,4740
202676,20592
202676,9672
188165,22159
192530,22159
193336,7376
193336,10717
43834,17524
202539,4740
195536,4740
188636,4740
200937,4740
195675,4740
195024,4740
197732,4740
191570,4740
201953,4740
196900,4740
199313,4740
198634,16297
190707,22159
195416,19042
188943,20185
72367,14454
202785,6425
187770,4740
187770,15793
187770,19342
196882,14586
83695,4740
83695,18303
188316,19802
189999,3626
189999,2272
194613,51
194613,20592
194613,9672
199431,12966
199431,8062
190499,19802
188964,10362
199651,14586
190467,19042
190467,2272
187502,9927
190083,14586
192891,14853
202155,12104
202155,16136
192984,12966
192984,8062
189382,8801
189382,15099
189382,22159
189382,2589
202254,7337
202254,19042
202254,10884
202254,6822
202254,3678
27983,10362
122449,10819
122449,15099
122449,10088
122449,15793
122449,3983
122449,22159
122449,2589
195757,996
143944,18131
167093,4740
167093,18303
191123,51
191123,20592
191123,9672
195148,14586
196982,14454
69923,7991
69923,12490
69923,21204
69923,6906
127079,4740
181915,4740
200823,15061
195264,14228
74604,20568
74604,18925
193225,2191
193225,14853
188743,10362
191159,10362
107739,4113
107739,7991
107739,12490
107739,4352
107739,21204
107739,6906
107739,2589
195855,12104
195855,16136
186256,15759
186256,15811
186256,1280
186256,10022
186256,18303
186256,18216
186256,16297
186256,4410
186256,2644
186256,8947
186256,10731
186256,17697
186256,3999
186256,20063
186256,22152
192286,14586
192286,9533
189228,13170
192285,7337
192285,19042
192285,10884
192285,3678
199553,6425
193164,19042
199256,2272
191263,5140
134527,3089
80867,9533
80867,8030
80867,20437
200612,3982
199914,7775
201550,788
201550,17973
201550,15816
201550,18603
194814,19163
192343,17973
192343,15816
192343,18603
189678,17973
189678,15816
189678,18603
193992,7737
