target_entrez,disease_icd10
14123,204106
21686,204106
551,206716
13847,206716
14123,206218
1113,208245
9095,207839
551,207839
21766,207839
21203,207839
15554,207839
20741,207839
2558,204604
1113,206768
6365,206768
13974,206358
16091,204021
8092,204021
18407,204021
8092,205944
13974,203249
9247,206181
4342,206181
7212,206181
17649,206181
890,208245
453,208245
15469,207117
11664,208214
17649,208214
551,207032
943,207564
187,207564
14521,204604
16,203972
15554,203972
13847,206073
6365,206073
890,205515
3057,205515
8968,205515
5777,205515
1113,206055
1810,205091
10378,207861
18121,207032
13306,204543
9932,206768
19017,204630
19414,204630
20665,204630
16807,204630
21575,204630
3377,204630
19821,205944
16091,203432
2002,204021
10686,204021
18533,204021
8859,204021
3377,204021
19903,204399
17032,203852
20635,203852
647,204800
3614,204800
4758,206342
13940,206342
17207,207564
623,207614
9095,207614
13334,207614
13306,207614
8726,207614
15613,204071
4406,206124
16288,204124
16288,204202
15694,207622
9095,207622
13974,207622
17649,207622
4342,207205
4342,207827
4342,206355
4342,205691
4342,204937
4342,204604
4342,206268
4342,204056
4342,208652
4342,206830
4342,203745
4342,206627
4342,205014
4342,206654
4342,203526
4342,207646
4342,207990
20635,207205
20635,207827
20635,206355
20635,205691
20635,204937
20635,206268
20635,204056
20635,208652
20635,206830
20635,203745
20635,206627
20635,205014
20635,206654
20635,203526
20635,207646
20635,207990
8092,207205
8092,207827
8092,206355
8092,205691
8092,204937
8092,204604
8092,206268
8092,204056
8092,208652
8092,206830
8092,203745
8092,206627
8092,205014
8092,206654
8092,203526
8092,207646
8092,207990
17207,206289
3638,207032
13903,204754
20635,204754
21320,207983
11664,207983
11664,207926
13903,207983
13903,207926
15156,207983
15156,207926
1029,207983
1029,207926
20635,204124
13814,203721
13903,207582
20635,207582
551,207582
2351,206681
13847,208245
20635,208795
551,208795
551,208525
17628,204562
11851,204562
13903,204562
3509,204562
9095,204562
551,204562
16288,204562
5009,204562
17207,204562
1533,203661
9095,204604
551,207564
10386,207564
647,206342
6796,206342
3614,206342
13903,206342
10378,206342
8092,206342
187,206342
374,204202
187,208640
1028,204349
3614,204939
14081,204939
2002,208245
10722,208015
1029,208015
17649,208015
3540,207926
17207,207926
13903,207205
13903,207827
13903,206355
13903,205691
13903,204937
13903,206268
13903,204056
13903,208652
13903,206830
13903,203745
13903,206627
13903,205014
13903,206654
13903,203526
13903,207646
13903,207990
7416,208639
17922,208639
10686,208639
3638,208639
8327,208639
18730,208015
7743,207404
11664,207404
13399,207404
11992,207404
18658,207404
17643,207404
13903,203906
20635,203906
11813,204800
20665,204800
11813,207683
14182,207683
6727,205455
11493,205455
11518,205455
16,207683
1029,207683
6796,206407
2002,206407
8128,204021
15156,206151
2419,204263
18830,204263
16091,204263
20635,204263
17897,204263
8881,204630
1983,204630
1972,206342
1029,206342
9456,208525
2861,206407
374,206407
1029,203608
5994,205195
19389,208639
8578,208639
8128,208007
551,208007
20741,208007
9182,207332
7763,207580
9932,207580
6340,205000
551,204677
17819,208342
8092,208342
16399,208342
13903,205979
9095,205979
8150,205979
1786,205979
5327,205979
18830,203972
5056,203972
9437,208091
20741,206547
13974,208091
13974,204630
14022,208091
14022,204630
551,207213
10877,207205
10877,207827
10877,206355
10877,205691
10877,204937
10877,204604
10877,206268
10877,204056
10877,208652
10877,206830
10877,203745
10877,206627
10877,205014
10877,206654
10877,203526
10877,207646
10877,207990
187,204124
19513,208091
19513,204630
5009,208091
5009,204630
17628,204372
1113,204994
13399,204372
18730,204372
17207,204372
20741,204994
12160,203972
13903,205559
9095,205559
17447,208245
17649,208245
14328,208214
551,208214
15694,207739
13903,207739
8092,207739
12126,206407
13903,204124
17628,203815
3057,203815
13847,203815
8020,203815
14123,203815
19389,207299
1198,206768
20635,204021
10908,204021
6365,204021
9095,208245
13974,205031
3536,205031
551,205031
9932,205031
18407,205031
