chemical_pubchemcid,protein_entrez
155591,19790
105039,12585
107015,12699
140836,12699
53683,4012
126892,4012
155632,6893
85739,7032
24873,4012
60800,4012
113147,14836
55624,14836
94744,4525
58804,4525
33788,3752
167024,6682
183257,6682
179216,9809
120662,10648
150942,10648
91659,22274
169005,22274
38482,18156
115373,18156
75705,4525
151650,92
151650,750
151650,16132
151650,10399
52113,14868
64825,14868
178050,945
52140,16297
168678,16297
25473,14378
25674,12969
50592,12969
139312,12969
99772,12969
156774,14016
106315,14016
43983,14016
120010,6893
141604,9475
40799,12791
43871,14736
158016,14736
146555,12104
85334,7457
23978,6893
23978,7032
92664,18664
92664,14016
49668,18664
49668,14016
163541,12104
171507,14454
133827,14454
86190,568
128735,10116
145220,6210
145220,6682
75604,6210
36586,19045
36572,19045
54350,16297
148065,19374
167826,259
30797,8276
84687,1408
133335,10222
174335,6294
111151,6294
79622,6294
79722,6294
91567,6294
155133,6294
165752,6294
107036,6294
177009,6294
60683,6294
135231,6294
22657,6294
36247,6294
89242,6294
56187,6294
131591,6294
178533,6294
179137,6294
173731,6294
178550,6294
117628,6294
68866,6294
94841,6294
53851,19790
181610,6294
64930,3974
117606,13689
117606,17726
117606,5531
54313,13689
54313,17726
54313,5531
120438,13689
120438,17726
120438,5531
123564,13689
123564,17726
123564,5531
61773,21787
68838,568
69751,568
68064,568
130578,13998
39987,4712
111383,20385
123362,2273
65870,5624
65870,13620
182027,411
154130,13436
169125,10116
92147,8871
92147,18746
132426,19150
132426,20618
53445,19150
53445,20618
55672,19150
55672,20618
47432,19150
47432,20618
123267,411
64785,20859
64785,411
175843,4740
73836,10362
75380,10362
86156,12388
72979,13559
113212,20313
30461,20313
103636,20313
103636,12811
142303,20313
51564,20313
128722,20313
184291,20313
184291,12811
167511,20313
167511,12811
133919,20313
133919,12811
26106,20313
77111,20313
59245,20313
30109,20313
30109,12811
143649,20313
143649,12811
97600,20313
143473,20313
56138,20313
103667,20313
44538,20313
152369,20313
152369,12811
118574,20313
118574,12811
129239,20313
115394,20313
168764,20313
49981,20313
77034,20313
54819,20313
77408,20313
163246,20313
127821,20313
127821,12811
153935,17796
128521,18827
78645,13100
94808,13100
165454,13100
125905,15009
153528,15009
41826,18045
41826,22100
108328,18045
108328,22100
117072,11472
117072,12295
30034,11480
144145,13878
163454,568
136242,12585
67774,17692
29016,3974
52546,3974
109338,6893
109338,7032
100491,19375
100491,19790
130269,19790
41282,19790
86075,19790
24890,3689
176355,3689
125831,1534
163704,443
142963,443
179081,4435
66197,6383
54634,306
44829,306
92567,12969
153189,12969
25130,16005
47002,3587
136325,17074
151744,17074
140204,546
171037,5420
143387,304
143387,20900
133317,19689
152413,9716
38364,9716
171056,9716
113006,9716
181330,9716
159486,9716
37496,9716
33715,9716
50321,3974
131834,3974
166105,17218
138057,17158
138057,5222
138057,19151
29954,17158
29954,5222
29954,19151
160579,17158
160579,5222
160579,19151
24864,17158
24864,5222
24864,19151
147573,17158
147573,5222
147573,19151
70256,17158
70256,5222
70256,19151
151771,6068
181050,18974
178865,18974
144325,18974
92342,18974
135100,6839
118551,18974
27653,13361
122568,19398
122568,2520
180055,18146
94539,13998
80225,18045
80225,22100
61043,22100
64060,1752
80933,12046
165370,12046
162796,476
74945,1556
97329,18146
103020,18664
103020,14016
96844,20992
123916,13100
116280,8418
131074,8418
150074,8418
33655,989
47651,989
127972,989
30422,989
107189,989
40578,15009
71886,19150
71886,20618
48734,20313
48734,7032
171764,9809
92542,989
123010,1556
35369,1556
145323,4144
30937,3019
30937,13592
184592,2272
76693,22064
86976,4182
86976,18974
92023,19042
46512,12699
49001,12699
129611,12699
28214,750
45569,15204
168911,20313
139493,5738
61532,12096
52024,11133
53695,15061
29916,2191
164986,2191
76224,2191
54889,4674
154537,8801
112475,8062
78827,12966
180839,768
171527,8801
171527,15099
171527,2589
105864,2272
107352,2272
130587,2272
34209,11309
47311,20313
127234,8801
127234,2589
148645,9809
82121,4381
70838,9817
52700,1556
154034,3019
186141,6772
99365,2272
186350,4333
186350,11230
129112,12699
62792,750
52704,19050
173269,8801
173269,2589
124599,8801
124599,2589
169877,13191
102418,13191
163388,7986
163388,3089
54738,11133
55919,19042
81923,21622
61574,4740
33931,768
82219,10362
23320,1003
67826,2589
110782,8801
110782,2589
134390,8801
134390,2589
56468,8801
56468,15099
56468,2589
87562,21622
187048,9809
84319,13560
154860,14454
153013,4144
96588,3019
25464,12969
45316,3999
31311,5963
31311,19050
133417,12096
61163,13191
46784,21761
86605,4740
161978,12966
128489,14454
99758,14454
99372,7337
99372,19042
99372,3678
27418,8801
27418,15099
27418,2589
179899,2272
161583,1003
45851,1003
91410,8801
91410,2589
116948,8801
116948,2589
149907,9809
119383,15517
72105,989
99793,15813
99793,989
130951,989
82351,2589
124861,6294
76731,4144
148089,8801
148089,2589
111249,15204
171026,20313
127871,20313
180362,17926
26416,17926
186310,8801
186310,15099
186310,2589
88635,8801
88635,15099
88635,2589
159975,3999
110599,13191
54401,3089
75354,15482
168887,15061
30526,2191
49540,4740
183278,4740
143446,2191
162053,12966
45022,12966
92123,8801
92123,15099
92123,2589
49072,8801
49072,2589
45881,2272
36452,7902
150376,15440
109023,1003
147825,7032
182802,13868
34814,15099
34814,2589
77328,2589
158344,3019
168665,8801
168665,15099
168665,2589
146023,568
36176,750
41000,750
45564,17926
160647,17926
104565,3999
182937,13191
82518,3089
36462,7986
36462,3089
91493,17926
133947,15061
142026,2191
136715,2589
88481,8801
129752,8801
129752,2589
139592,12966
36701,14454
86418,4740
141588,4740
181784,7337
181784,19042
181784,10884
181784,3678
171544,12966
129117,3999
40005,20313
64913,8801
64913,2589
154452,989
154452,3982
86523,2589
110822,2589
134367,5218
46039,4973
46039,17955
46039,6294
29020,17591
29020,5963
29020,19050
29020,3089
44612,3019
94015,3689
94015,17050
94015,9158
119326,19050
181528,20313
76392,20313
54578,15517
134306,16391
176042,12699
62406,13191
66625,8801
39925,7991
39925,6906
24327,768
89501,4740
22397,2272
99171,7032
78258,10362
186169,19042
152318,989
159124,9817
129008,21761
129776,3019
133425,3019
137752,10982
54972,12699
52951,15204
90018,10879
90018,6682
97226,3999
145163,405
145163,12607
59873,15099
39614,11133
145978,8801
145978,2589
34824,4740
174247,4740
64217,5962
62053,4740
149899,10362
41279,2272
149470,1003
136366,20313
90867,20313
99116,20313
99116,7032
103937,6893
103937,20313
103937,7032
175940,6893
175940,20313
175940,7032
140244,18750
92374,989
168895,8801
168895,15099
168895,2589
53201,8801
53201,15099
53201,2589
112723,8801
112723,15099
112723,2589
147496,4354
47679,3019
184326,4354
97155,18827
59025,568
94457,12699
158308,12699
23399,16132
105923,750
129466,21622
175664,15204
175664,21622
147663,17926
45912,14454
50854,405
50854,12607
32744,17591
32744,14538
32744,7986
32744,3089
172537,15440
69994,8801
69994,15099
69994,2589
98199,6906
117825,8801
117825,2589
44425,768
57055,2589
112395,1003
90326,1003
79356,306
35717,306
103114,306
137096,306
132363,306
186877,306
49557,4354
120541,11861
87449,11861
42184,17218
52092,17218
161363,17218
112336,17218
181151,17218
113316,17218
65921,17218
173764,8801
173764,15099
173764,2589
54403,12585
54403,2832
159034,12046
160769,11192
179399,11192
121911,11192
74906,11192
41799,9475
132098,9475
104045,9475
152110,9475
27303,9475
24495,9475
24495,10982
145972,9475
145972,10982
40531,6292
66419,6292
64596,6292
101940,6292
142600,989
37257,6294
153242,6294
32534,6294
123927,6294
68010,6294
165661,6294
111594,989
171373,6294
79328,6294
92884,6294
76254,989
171307,989
132193,17591
132193,5963
132193,19050
132193,3089
71708,17591
71708,5963
71708,19050
71708,3089
117736,17591
117736,5963
117736,19050
177965,19050
138572,17591
138572,5963
138572,19050
138572,3089
95916,989
48099,19515
169211,10982
113780,10982
36479,17591
36479,5963
36479,19050
36479,3089
40330,17591
40330,5963
40330,19050
40330,3089
145397,17591
145397,5963
145397,19050
171368,17591
171368,5963
171368,19050
171368,3089
93905,989
160985,989
68811,17591
68811,5963
68811,19050
68811,3089
173147,17591
173147,5963
173147,19050
173147,3089
92606,5963
92606,19050
92606,3089
138874,17591
138874,5963
138874,19050
138874,3089
132214,17591
132214,5963
132214,3089
35607,1583
54161,1583
44825,989
110914,706
88849,706
48760,17591
48760,5963
48760,19050
48760,3089
130961,17591
130961,5963
130961,19050
130961,3089
165637,17591
165637,5963
165637,19050
165637,3089
142712,17591
142712,5963
154646,989
154326,989
50292,19515
111418,706
43316,22064
146650,22064
36243,11409
96768,17960
126202,17218
37947,12585
160348,12585
174972,12585
86184,12585
108139,12585
183236,12585
166568,12585
172188,12585
117339,12585
80743,12585
93946,12585
139063,12969
